DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
F422,La Patisserie Inc,30 Church St,Winchester,F,1890,,42.45154734,71.1388925,229704.7254,911287.3437,M,100
W240,La Ronga Bakery & Delicatessen,599 Somerville Ave,Somerville,W,2143,,42.3839015,71.1094669,232159.6674,903784.1053,M,66
F423,La Ronga Bakery Inc,599 Somerville Ave,Somerville,F,2143,,42.3839015,71.1094669,232159.6674,903784.1053,M,100
R3722,LA Rotisserie,17 Boylston St,Chestnut Hill,R,2467,135,42.32123262,71.1732494,226933.9955,896801.026,M,100
R1147,La Scala Restaurant,183 Shrewsbury St Ste 4,Worcester,R,1604,22.5,42.26578771,71.7856211,176435.6671,890630.3364,M,100
R3518,La Scala Restaurante,1070 N Main St,Randolph,R,2368,90,42.1928005,71.0598716,236353.2419,882577.7062,M,100
R1148,La Veracruzana,31 Main St,Northampton,R,1060,22.5,42.31990056,72.6290912,106929.7479,897217.4874,M,100
R1497,La Veracruzana,63 South Pleasant Street,Amherst,R,1002,28.5,42.37485623,72.5198313,116008.5006,903207.8821,M,100
R1149,La Vita Mia,38 Hamilton St,Saugus,R,1906,22.5,42.46533534,71.0064426,240591.0982,912873.4665,M,100
IH645,LABELLES REST HOME,3 HIGH STREET,SHELBURNE,IH,1370,7.884,42.60397518,72.7351313,98646.4344,928890.2095,M,80
R1150,Laboniche Restaurant,143 Merrimack St,Lowell,R,1852,22.5,42.64574811,71.3103201,215555.1466,932813.992,M,100
IC72,Laboure College,2120 Dorchester Avenue,Boston,IC,2124,5.3676,42.2780344,71.0664849,235758.8895,892042.0525,M,100
R3668,Lacantina Restaurant,911 Waverly St,Framingham,R,1702,112.5,42.27407437,71.4359124,205286.6809,891513.3074,M,100
R1452,Ladd's Restaurant,64 Barre Paxton Rd,Rutland,R,1543,27,42.3350458,71.9587206,162196.0843,898385.4043,M,100
R3334,Lafayette House,109 Washington St,Foxboro,R,2035,75,42.08098766,71.2805723,218156.054,870087.9821,M,100
IH372,LAFAYETTE REHABILITATION & SKL,25 LAFAYETTE STREET,MARBLEHEAD,IH,1945,21.3525,42.493545,70.87387,251470.945,916078.4728,M,100
R2032,Lafinestra Restorante,17 19 Water St,Wakefield,R,1880,36,42.50251501,71.068943,235430.1219,916975.4756,M,100
IH45,LAHEY CLINIC HOSPITAL,41 MALL ROAD,BURLINGTON,IH,1806,197.85555,42.48554875,71.2146635,223459.1891,915040.5697,M,100
IH109,LAHEY CLINIC NORTH (INPT SAT),1 ESSEX CENTER DRIVE 1 2 3 FLS,PEABODY,IH,1960,6.2415,42.5388946,70.9492231,245244.1161,921073.1146,M,100
R197,Lake Lashaway Inn,308 E Main St,East Brookfield,R,1515,15,42.22676491,72.0461961,154910.1624,886400.8251,M,100
IH373,LAKEVIEW HOUSE NURSING HOME,87 SHATTUCK STREET,HAVERHILL,IH,1830,29.8935,42.79732036,71.0520147,236649.5088,949730.7982,M,100
R1678,Lala Rokh,97 Mount Vernon St,Cambridge,R,2140,30,42.38779076,71.1215887,231159.5508,904211.6111,M,100
R1679,Lam & Lin,33 Faunce Corner Mall Rd,North Dartmouth,R,2747,30,41.64420244,70.9886283,242602.958,821679.0969,M,86
