"state_id","ban_year","sample_size","att_f2","att_f","attempt"
"CT",2014,9,0.0991691887357412,0.0926601283026317,21
"CT",2014,10,0.115196866486238,0.130847984702024,21
"VT",2015,3,0.136913847822062,0.136913847822062,21
"VT",2015,4,0.0410220292888719,0.0410220292888719,21
"VT",2015,5,0.0872939798912163,0.0872939798912163,21
"VT",2015,6,-0.0018178705520519,-0.0018178705520519,21
"VT",2015,7,0.0382433221121369,0.0382433221121369,21
"VT",2015,8,0.0389728725710904,0.0389728725710904,21
"VT",2015,9,0.0187015225125256,0.0187015225125256,21
"VT",2015,10,0.0471155677039728,0.0471155677039728,21
"CT",2014,3,-0.0383299437149081,-0.0311492022621309,22
"CT",2014,4,-0.0158516316554434,-0.00574155576571329,22
"CT",2014,5,0.0374314293751646,0.0380899995393174,22
"CT",2014,6,0.0615457373879565,0.074541974793305,22
"CT",2014,7,0.0624750825439763,0.0831625394987941,22
"CT",2014,8,0.0909645972309209,0.107769658598937,22
"CT",2014,9,0.112029204045761,0.105639834954058,22
"CT",2014,10,0.130126738668872,0.132924366076915,22
"VT",2015,3,0.0666932671960369,0.0666932671960369,22
"VT",2015,4,0.00923394445974746,0.00923394445974746,22
"VT",2015,5,0.0556683038854368,0.0556683038854368,22
"VT",2015,6,0.05026900541292,0.05026900541292,22
"VT",2015,7,-0.0106563523260894,-0.0106563523260894,22
"VT",2015,8,0.0138853025060959,0.0138853025060959,22
"VT",2015,9,0.012246271771959,0.012246271771959,22
"VT",2015,10,0.0338166793336498,0.0338166793336498,22
"CT",2014,3,-0.0862913389414676,-0.0768351246342991,23
"CT",2014,4,-0.00883946884953857,-0.00745369040576709,23
"CT",2014,5,0.0382931800169132,0.0516738199908893,23
"CT",2014,6,0.0473796233712178,0.0315531067867415,23
