"state_id","ban_year","sample_size","att_f","rsq","mape","attempt"
"VT",2015,6,-0.0384104046699778,0.803989871590807,0.0121393701065566,5
"VT",2015,7,-0.0062466955351248,0.819880678716288,0.0324690986565324,5
"VT",2015,8,0.0268078236907875,0.861604186151835,0.0640129817377911,5
"VT",2015,9,0.0548941014198455,0.847978489968246,0.0915765206341699,5
"VT",2015,10,0.0988350895739627,0.818758307369656,0.121969030428575,5
"CT",2014,3,-0.24421045726136,0.913930190789067,0.0881228956742736,6
"CT",2014,4,-0.141836228652971,0.95026067693131,0.19472780504995,6
"CT",2014,5,-0.173506358531064,0.939285555486863,0.2462989478408,6
"CT",2014,6,-0.116378825684044,0.899862873943402,0.291767305105771,6
"CT",2014,7,-0.051587614080191,0.881708685740989,0.339976002367544,6
