sample_size,ban_year,county_id,n,att,attempt
5,2014,MA,47,-0.068551161,39
6,2014,MA,50,-0.066943487,39
7,2014,MA,50,-0.055558494,39
8,2014,MA,50,-0.084887419,39
9,2014,MA,49,-0.053324319,39
10,2014,MA,50,-0.075216069,39
3,2014,MA,18,-0.067914552,40
4,2014,MA,37,-0.092036528,40
5,2014,MA,48,-0.078745681,40
6,2014,MA,49,-0.064675821,40
7,2014,MA,50,-0.082637493,40
8,2014,MA,50,-0.078751024,40
9,2014,MA,50,-0.070520903,40
10,2014,MA,50,-0.080407387,40
3,2014,MA,19,-0.067914552,41
4,2014,MA,33,-0.092036528,41
5,2014,MA,47,-0.068295593,41
6,2014,MA,48,-0.064675821,41
7,2014,MA,50,-0.073980115,41
8,2014,MA,50,-0.071120904,41
9,2014,MA,50,-0.060383556,41
10,2014,MA,49,-0.06320119,41
3,2014,MA,13,-0.067914552,42
4,2014,MA,37,-0.092036528,42
5,2014,MA,42,-0.068295593,42
6,2014,MA,48,-0.057914386,42
7,2014,MA,49,-0.062213993,42
8,2014,MA,50,-0.06360979,42
9,2014,MA,50,-0.063031643,42
10,2014,MA,50,-0.068160911,42
3,2014,MA,12,-0.067914552,43
4,2014,MA,33,-0.068686056,43
5,2014,MA,42,-0.078418655,43
6,2014,MA,47,-0.062735618,43
7,2014,MA,50,-0.068847678,43
8,2014,MA,50,-0.07277925,43
9,2014,MA,49,-0.059846083,43
10,2014,MA,50,-0.066581996,43
3,2014,MA,14,-0.067914552,44
4,2014,MA,36,-0.092036528,44
5,2014,MA,44,-0.065424324,44
6,2014,MA,49,-0.066943487,44
7,2014,MA,48,-0.06933517,44
8,2014,MA,50,-0.062973302,44
9,2014,MA,50,-0.060750495,44
10,2014,MA,49,-0.076693359,44
3,2014,MA,11,-0.067914552,45
4,2014,MA,37,-0.068686056,45
5,2014,MA,46,-0.064896744,45
6,2014,MA,50,-0.062720587,45
7,2014,MA,49,-0.060728632,45
8,2014,MA,50,-0.071120904,45
9,2014,MA,50,-0.058438517,45
10,2014,MA,50,-0.061284132,45
3,2014,MA,13,-0.067914552,46
4,2014,MA,41,-0.062299851,46
5,2014,MA,47,-0.068295593,46
6,2014,MA,50,-0.044204173,46
7,2014,MA,50,-0.06933517,46
8,2014,MA,50,-0.084887419,46
9,2014,MA,49,-0.068105416,46
10,2014,MA,48,-0.070800284,46
3,2014,MA,17,-0.067914552,47
4,2014,MA,33,-0.050479254,47
5,2014,MA,43,-0.070390021,47
6,2014,MA,48,-0.069248422,47
7,2014,MA,49,-0.068355568,47
8,2014,MA,50,-0.066870997,47
9,2014,MA,49,-0.059846083,47
10,2014,MA,50,-0.072100619,47
3,2014,MA,18,-0.067914552,48
4,2014,MA,34,-0.062299851,48
5,2014,MA,49,-0.070390021,48
6,2014,MA,48,-0.065049036,48
7,2014,MA,49,-0.069721854,48
8,2014,MA,50,-0.06360979,48
9,2014,MA,50,-0.082612418,48
10,2014,MA,50,-0.061460627,48
3,2014,MA,17,-0.067914552,49
4,2014,MA,37,-0.092036528,49
5,2014,MA,41,-0.061018172,49
6,2014,MA,48,-0.072187127,49
7,2014,MA,49,-0.075801819,49
8,2014,MA,50,-0.063278712,49
9,2014,MA,50,-0.070520903,49
10,2014,MA,50,-0.06834602,49
3,2014,MA,17,-0.067914552,50
4,2014,MA,36,-0.068686056,50
5,2014,MA,45,-0.070390021,50
6,2014,MA,47,-0.071482737,50
7,2014,MA,48,-0.068847678,50
8,2014,MA,50,-0.069832026,50
9,2014,MA,50,-0.078743477,50
10,2014,MA,49,-0.069748488,50
3,2014,MA,16,-0.067914552,51
4,2014,MA,39,-0.068686056,51
5,2014,MA,44,-0.077402525,51
6,2014,MA,48,-0.065964865,51
7,2014,MA,50,-0.08143075,51
8,2014,MA,50,-0.070416258,51
9,2014,MA,50,-0.06129369,51
10,2014,MA,50,-0.076693359,51
3,2014,MA,13,-0.067914552,52
4,2014,MA,38,-0.050479254,52
5,2014,MA,45,-0.087329713,52
6,2014,MA,47,-0.062586319,52
7,2014,MA,47,-0.068834009,52
8,2014,MA,49,-0.073867258,52
9,2014,MA,50,-0.077578558,52
10,2014,MA,50,-0.059273019,52
3,2014,MA,16,-0.067914552,53
4,2014,MA,33,-0.068686056,53
5,2014,MA,46,-0.087329713,53
6,2014,MA,47,-0.077053633,53
7,2014,MA,48,-0.062319533,53
8,2014,MA,49,-0.064707349,53
9,2014,MA,50,-0.080866519,53
10,2014,MA,50,-0.061102737,53
3,2014,MA,19,-0.067914552,54
4,2014,MA,36,-0.068686056,54
5,2014,MA,46,-0.077402525,54
6,2014,MA,48,-0.064642822,54
7,2014,MA,49,-0.06933517,54
8,2014,MA,50,-0.089821612,54
9,2014,MA,50,-0.070008602,54
10,2014,MA,50,-0.075395264,54
3,2014,MA,13,-0.067914552,55
4,2014,MA,38,-0.092036528,55
5,2014,MA,44,-0.068295593,55
6,2014,MA,47,-0.074111108,55
7,2014,MA,49,-0.076894189,55
8,2014,MA,50,-0.048135312,55
9,2014,MA,50,-0.065745904,55
10,2014,MA,50,-0.075216069,55
3,2014,MA,16,-0.067914552,56
4,2014,MA,37,-0.068686056,56
5,2014,MA,44,-0.061018172,56
6,2014,MA,48,-0.057914386,56
7,2014,MA,49,-0.059817014,56
8,2014,MA,50,-0.067297422,56
9,2014,MA,50,-0.070520903,56
10,2014,MA,50,-0.05919549,56
3,2014,MA,12,-0.067914552,57
4,2014,MA,41,-0.092036528,57
5,2014,MA,47,-0.061018172,57
6,2014,MA,49,-0.069912802,57
7,2014,MA,49,-0.06143983,57
8,2014,MA,50,-0.061466865,57
9,2014,MA,50,-0.058240385,57
10,2014,MA,50,-0.070194355,57
3,2014,MA,17,-0.067914552,58
