"sample_size","ban_year","county_id","n","att","attempt"
3,2016,"CA",4,0.050075527951332,6
4,2016,"CA",11,0.0547694113278329,6
5,2016,"CA",17,0.015657571964506,6
6,2016,"CA",25,0.0268782612312288,6
7,2016,"CA",29,0.0360209974245915,6
8,2016,"CA",27,0.0430215374596441,6
9,2016,"CA",14,0.0476706450506713,6
10,2016,"CA",8,0.0536942924211194,6
3,2016,"CA",4,0.0523114124812883,7
4,2016,"CA",9,0.063892195475938,7
5,2016,"CA",18,0.0165880507722423,7
6,2016,"CA",26,0.0230415408272,7
7,2016,"CA",29,0.0351334434338384,7
8,2016,"CA",24,0.0401137802330355,7
9,2016,"CA",17,0.0484053048896554,7
10,2016,"CA",10,0.0536942924211194,7
3,2016,"CA",5,0.0545472970112446,8
4,2016,"CA",12,0.0643297837365706,8
5,2016,"CA",19,0.0145895051233367,8
6,2016,"CA",28,0.0254947163131562,8
7,2016,"CA",27,0.036060431395496,8
8,2016,"CA",22,0.041516347473106,8
9,2016,"CA",18,0.0484053048896554,8
10,2016,"CA",10,0.0528668316737481,8
3,2016,"CA",4,0.0545472970112446,9
4,2016,"CA",9,0.063892195475938,9
5,2016,"CA",24,0.0211914108011991,9
6,2016,"CA",22,0.0271047827559199,9
7,2016,"CA",24,0.0329018020923725,9
8,2016,"CA",25,0.0414115538306519,9
9,2016,"CA",17,0.0484053048896554,9
10,2016,"CA",10,0.0546650720091083,9
3,2016,"CA",4,0.050075527951332,10
4,2016,"CA",14,0.0522743986977017,10
5,2016,"CA",22,0.0237244051861594,10
6,2016,"CA",28,0.0268330667874504,10
7,2016,"CA",26,0.0351334434338384,10
8,2016,"CA",26,0.0428803291829632,10
9,2016,"CA",16,0.0477333730471041,10
10,2016,"CA",13,0.0545217531684907,10
3,2016,"CA",4,0.0523114124812883,11
4,2016,"CA",10,0.0640377491056494,11
5,2016,"CA",20,0.0165880507722423,11
6,2016,"CA",27,0.0246868520917381,11
7,2016,"CA",26,0.0366310482450282,11
8,2016,"CA",27,0.0422734149975133,11
9,2016,"CA",18,0.0477333730471041,11
10,2016,"CA",11,0.0545791105646237,11
3,2016,"CA",4,0.0545472970112446,12
4,2016,"CA",10,0.06418376642111,12
5,2016,"CA",16,0.0211914108011991,12
6,2016,"CA",21,0.0232599468851758,12
7,2016,"CA",26,0.0343643675231333,12
8,2016,"CA",17,0.041516347473106,12
9,2016,"CA",21,0.0484053048896554,12
10,2016,"CA",10,0.0536942924211194,12
3,2016,"CA",4,0.0545472970112446,13
4,2016,"CA",9,0.0640377491056494,13
5,2016,"CA",17,0.0166946492718146,13
6,2016,"CA",24,0.0250701157519449,13
7,2016,"CA",29,0.0343643675231333,13
8,2016,"CA",21,0.0415862790453955,13
9,2016,"CA",13,0.0470679567841718,13
10,2016,"CA",8,0.0545217531684907,13
3,2016,"CA",5,0.0545472970112446,14
4,2016,"CA",10,0.0643297837365706,14
5,2016,"CA",23,0.021254202946149,14
6,2016,"CA",25,0.0268330667874504,14
7,2016,"CA",21,0.0329247447455451,14
8,2016,"CA",30,0.0430565097491722,14
9,2016,"CA",20,0.0484682988911484,14
10,2016,"CA",11,0.0536942924211194,14
3,2016,"CA",5,0.0545472970112446,15
4,2016,"CA",11,0.06418376642111,15
5,2016,"CA",21,0.0201983841705362,15
6,2016,"CA",27,0.0259515912696977,15
7,2016,"CA",27,0.0360998653664006,15
8,2016,"CA",21,0.0414115538306519,15
9,2016,"CA",21,0.0484053048896554,15
10,2016,"CA",10,0.0545217531684907,15
3,2016,"CA",4,0.0545472970112446,16
4,2016,"CA",9,0.0640377491056494,16
5,2016,"CA",22,0.0224893040661542,16
6,2016,"CA",24,0.0232599468851758,16
7,2016,"CA",27,0.0359419288554954,16
8,2016,"CA",22,0.0422734149975133,16
9,2016,"CA",21,0.0484682988911484,16
10,2016,"CA",11,0.0528668316737481,16
3,2016,"CA",5,0.0545472970112446,17
4,2016,"CA",10,0.06418376642111,17
5,2016,"CA",18,0.0192053575398733,17
6,2016,"CA",26,0.0268782612312288,17
7,2016,"CA",29,0.0336758569899976,17
8,2016,"CA",25,0.0418598231570175,17
9,2016,"CA",20,0.0484682988911484,17
10,2016,"CA",11,0.0528668316737481,17
3,2016,"CA",4,0.050075527951332,18
4,2016,"CA",10,0.06418376642111,18
5,2016,"CA",14,0.0145585155894759,18
6,2016,"CA",25,0.0269499133447822,18
7,2016,"CA",25,0.0343643675231333,18
8,2016,"CA",28,0.0415862790453955,18
9,2016,"CA",19,0.0484053048896554,18
10,2016,"CA",10,0.0546364679607567,18
3,2016,"CA",5,0.0545472970112446,19
4,2016,"CA",12,0.0640377491056494,19
5,2016,"CA",17,0.0146204946571975,19
6,2016,"CA",22,0.0241061502133454,19
7,2016,"CA",23,0.0360209974245915,19
8,2016,"CA",24,0.0414464159008165,19
9,2016,"CA",23,0.0491143416610947,19
10,2016,"CA",11,0.0520857680501018,19
3,2016,"CA",3,0.0545472970112446,20
4,2016,"CA",9,0.063892195475938,20
5,2016,"CA",17,0.0192053575398733,20
6,2016,"CA",26,0.0232862161134627,20
7,2016,"CA",27,0.0343247084649891,20
8,2016,"CA",26,0.0430215374596441,20
9,2016,"CA",19,0.0491143416610947,20
10,2016,"CA",8,0.0546364679607567,20
3,2016,"CA",3,0.0545472970112446,21
4,2016,"CA",11,0.0547694113278329,21
5,2016,"CA",18,0.0166946492718146,21
6,2016,"CA",23,0.0237093177775475,21
7,2016,"CA",28,0.0360019982767405,21
8,2016,"CA",20,0.0415862790453955,21
9,2016,"CA",21,0.0485312928926414,21
10,2016,"CA",10,0.0528668316737481,21
3,2016,"CA",4,0.050075527951332,22
4,2016,"CA",12,0.063892195475938,22
5,2016,"CA",22,0.0259260871557674,22
6,2016,"CA",28,0.0268782612312288,22
7,2016,"CA",29,0.0355207306850156,22
8,2016,"CA",24,0.0443904734890824,22
9,2016,"CA",19,0.0485312928926414,22
10,2016,"CA",8,0.0546364679607567,22
3,2016,"CA",4,0.0545472970112446,23
4,2016,"CA",10,0.063892195475938,23
5,2016,"CA",16,0.0145895051233367,23
6,2016,"CA",24,0.0232862161134627,23
7,2016,"CA",25,0.036259157506261,23
8,2016,"CA",28,0.0415862790453955,23
9,2016,"CA",17,0.0484053048896554,23
10,2016,"CA",10,0.0545217531684907,23
3,2016,"CA",4,0.0545472970112446,24
4,2016,"CA",12,0.0639649722907937,24
5,2016,"CA",19,0.0166946492718146,24
6,2016,"CA",20,0.0241061502133454,24
7,2016,"CA",26,0.0347516547743105,24
8,2016,"CA",24,0.0414115538306519,24
9,2016,"CA",20,0.0504183372807112,24
10,2016,"CA",9,0.0545217531684907,24
3,2016,"CA",5,0.050075527951332,25
4,2016,"CA",12,0.063892195475938,25
5,2016,"CA",20,0.0165880507722423,25
6,2016,"CA",19,0.0268782612312288,25
7,2016,"CA",30,0.0347913138324548,25
8,2016,"CA",21,0.0411433556773959,25
9,2016,"CA",20,0.0484682988911484,25
10,2016,"CA",8,0.0546364679607567,25
3,2016,"CA",3,0.0545472970112446,26
4,2016,"CA",9,0.063892195475938,26
5,2016,"CA",19,0.0166946492718146,26
6,2016,"CA",23,0.0268330667874504,26
7,2016,"CA",24,0.0343643675231333,26
8,2016,"CA",26,0.0430215374596441,26
9,2016,"CA",16,0.0477020090488877,26
10,2016,"CA",10,0.0524762998619249,26
3,2016,"CA",4,0.0545472970112446,27
4,2016,"CA",10,0.063892195475938,27
5,2016,"CA",18,0.0179500034058439,27
6,2016,"CA",22,0.0248784839218415,27
7,2016,"CA",30,0.0344040265812776,27
8,2016,"CA",29,0.0430565097491722,27
9,2016,"CA",15,0.0480693389683798,27
10,2016,"CA",9,0.0546364679607567,27
3,2016,"CA",5,0.0545472970112446,28
