"treated_state","state_id","ban_year","sample_size","att","rsq","mape","attempt","type"
"M3","M3",2009,3,-0.0999498247065827,NA,NA,85,"disposal"
"M1","M1",2015,3,-0.0998506543877501,NA,NA,86,"disposal"
"M2","M2",2016,3,0.0223724799408137,NA,NA,86,"disposal"
"M3","M3",2009,3,-0.029697958378473,NA,NA,86,"disposal"
"M1","M1",2015,3,0.20161609324205,NA,NA,87,"disposal"
"M2","M2",2016,3,0.00625778217530629,NA,NA,87,"disposal"
"M3","M3",2009,3,-0.0150192390787398,NA,NA,87,"disposal"
"M1","M1",2015,3,-0.168365464340576,NA,NA,88,"disposal"
"M2","M2",2016,3,0.0123548425318464,NA,NA,88,"disposal"
"M3","M3",2009,3,0.0172193425183669,NA,NA,88,"disposal"
"M1","M1",2015,3,-0.164525577636085,NA,NA,89,"disposal"
"M2","M2",2016,3,-0.0118442439248323,NA,NA,89,"disposal"
"M3","M3",2009,3,-0.00342534157954657,NA,NA,89,"disposal"
"M1","M1",2015,3,-0.083627963105405,NA,NA,90,"disposal"
"M2","M2",2016,3,0.00294030384913427,NA,NA,90,"disposal"
"M3","M3",2009,3,-0.0364996461274577,NA,NA,90,"disposal"
"M1","M1",2015,3,-0.154009830636419,NA,NA,91,"disposal"
"M2","M2",2016,3,0.0560489751627634,NA,NA,91,"disposal"
"M3","M3",2009,3,-0.0329966362681641,NA,NA,91,"disposal"
"M1","M1",2015,3,0.0115746426469857,NA,NA,92,"disposal"
"M2","M2",2016,3,-0.0198801345192479,NA,NA,92,"disposal"
"M3","M3",2009,3,-0.115215181179707,NA,NA,92,"disposal"
"M1","M1",2015,3,-0.0991160098598141,NA,NA,93,"disposal"
"M2","M2",2016,3,0.00868609873333985,NA,NA,93,"disposal"
"M3","M3",2009,3,-0.000406851439374843,NA,NA,93,"disposal"
"M1","M1",2015,3,-0.164348387825356,NA,NA,94,"disposal"
"M2","M2",2016,3,-0.0491923617355256,NA,NA,94,"disposal"
"M3","M3",2009,3,-0.0989635682324882,NA,NA,94,"disposal"
"M1","M1",2015,3,-0.194259371819467,NA,NA,95,"disposal"
"M2","M2",2016,3,-0.0583382494734803,NA,NA,95,"disposal"
"M3","M3",2009,3,-0.13104881670097,NA,NA,95,"disposal"
"M1","M1",2015,3,-0.093126795631291,NA,NA,96,"disposal"
"M2","M2",2016,3,0.0183465461814365,NA,NA,96,"disposal"
"M3","M3",2009,3,-0.0996453691452673,NA,NA,96,"disposal"
"M1","M1",2015,3,-0.184326809121468,NA,NA,97,"disposal"
"M2","M2",2016,3,-0.00570869653668794,NA,NA,97,"disposal"
"M3","M3",2009,3,-0.0343943855901369,NA,NA,97,"disposal"
"M1","M1",2015,3,-0.14616683784332,NA,NA,98,"disposal"
"M2","M2",2016,3,-0.0520002457741085,NA,NA,98,"disposal"
"M3","M3",2009,3,-0.0783377558395282,NA,NA,98,"disposal"
"M1","M1",2015,3,-0.108797809619718,NA,NA,99,"disposal"
"M2","M2",2016,3,-0.00786068724523756,NA,NA,99,"disposal"
"M3","M3",2009,3,-0.00874744613517635,NA,NA,99,"disposal"
"M1","M1",2015,3,-0.161673676578229,NA,NA,100,"disposal"
"M2","M2",2016,3,8.3517282033431e-05,NA,NA,100,"disposal"
"M3","M3",2009,3,-0.0998586755174245,NA,NA,100,"disposal"
