"attempt","att2","treated_location","treated_state_2"
8,0.134440440122898,"KY","MA"
9,0.203639249208481,"KY","MA"
10,0.322411213390274,"KY","MA"
11,0.234646806249526,"KY","MA"
12,0.285407600048047,"KY","MA"
13,0.236673193349452,"KY","MA"
14,0.177481504272539,"KY","MA"
15,0.194998274578742,"KY","MA"
16,0.176377388453139,"KY","MA"
17,0.225778322609112,"KY","MA"
18,0.230653551133397,"KY","MA"
19,0.199513663710637,"KY","MA"
20,0.184213621694457,"KY","MA"
21,0.200552100176859,"KY","MA"
22,0.130748756989514,"KY","MA"
23,0.258292934391512,"KY","MA"
24,0.17947176579743,"KY","MA"
25,0.152930220841237,"KY","MA"
26,0.128299199239568,"KY","MA"
27,0.240192523221653,"KY","MA"
28,0.212314302638544,"KY","MA"
29,0.166438677526323,"KY","MA"
30,0.198433247699845,"KY","MA"
31,0.227388187785723,"KY","MA"
32,0.279896083539217,"KY","MA"
33,0.181357566834841,"KY","MA"
34,0.243958775224419,"KY","MA"
35,0.128173302128589,"KY","MA"
36,0.220422727042575,"KY","MA"
37,0.201788156536905,"KY","MA"
38,0.24948193776739,"KY","MA"
39,0.135393982022429,"KY","MA"
40,0.263510954493245,"KY","MA"
41,0.25963454628304,"KY","MA"
42,0.211375195179372,"KY","MA"
43,0.182199999679064,"KY","MA"
44,0.189392029909636,"KY","MA"
45,0.269145743571185,"KY","MA"
46,0.198080640921886,"KY","MA"
47,0.262655048977828,"KY","MA"
48,0.242928578258779,"KY","MA"
49,0.191562269834628,"KY","MA"
50,0.217204483141478,"KY","MA"
1,-0.230605499883184,"MD","MA"
2,-0.244874480922436,"MD","MA"
3,-0.243523381785031,"MD","MA"
4,-0.244277645536701,"MD","MA"
5,-0.250282219190658,"MD","MA"
6,-0.262141428577747,"MD","MA"
7,-0.270364266007515,"MD","MA"
8,-0.271903063532555,"MD","MA"
9,-0.246786151732734,"MD","MA"
10,-0.265509959589331,"MD","MA"
11,-0.271318794368932,"MD","MA"
12,-0.264027274290647,"MD","MA"
13,-0.268559217053974,"MD","MA"
14,-0.245462539104087,"MD","MA"
15,-0.225504051835397,"MD","MA"
16,-0.264183238630457,"MD","MA"
17,-0.252561995688978,"MD","MA"
18,-0.245684911056695,"MD","MA"
19,-0.243755794396395,"MD","MA"
20,-0.274850626437562,"MD","MA"
