"year","treated_state","intercept2","intercept","ban_year","attempt","y","effect_size","location","tons_pc","y_first","y_last","ylab","label","xlab"
2014,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.372372251489976,NA,"Actual",0.113686982952873,NA,NA,NA,NA,NA
2014,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.372372251489976,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2014,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.381208205229648,0.0959899217915775,"Synthetic",0.205296358728078,NA,NA,NA,NA,NA
2014,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.381208205229648,0.0959899217915775,"Actual",0.185718690421942,NA,NA,NA,NA,NA
2014,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.381208205229648,0.0959899217915775,"Our Exp.",0.185589977309674,NA,NA,NA,NA,NA
2015,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.30429718625574,NA,"Synthetic",0.178355363461877,NA,NA,0.29,"Validation",2015
2015,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.30429718625574,NA,"Actual",0.17775852341894,NA,NA,0.29,"Validation",2015
2015,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.30429718625574,NA,"Our Exp.",NA,NA,NA,0.29,"Validation",2015
2015,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.446296761399093,0.140695825265472,"Synthetic",0.356887022871242,NA,NA,NA,NA,NA
2015,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.446296761399093,0.140695825265472,"Actual",0.301580452899417,NA,NA,NA,NA,NA
2015,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.446296761399093,0.140695825265472,"Our Exp.",0.306674508661836,NA,NA,NA,NA,NA
2015,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.549829931091401,0.136933006134342,"Synthetic",0.224625069895539,NA,NA,NA,NA,NA
2015,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.549829931091401,0.136933006134342,"Actual",0.148568937499747,NA,NA,NA,NA,NA
2015,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.549829931091401,0.136933006134342,"Our Exp.",0.193866483821606,NA,NA,NA,NA,NA
2015,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.317598115671107,NA,"Synthetic",0.108365790028881,NA,NA,NA,NA,NA
2015,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.317598115671107,NA,"Actual",0.107741379702123,NA,NA,NA,NA,NA
2015,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.317598115671107,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2015,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.381248202447557,0.13767650541611,"Synthetic",0.205336355945986,NA,NA,NA,NA,NA
2015,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.381248202447557,0.13767650541611,"Actual",0.199226282034093,NA,NA,NA,NA,NA
2015,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.381248202447557,0.13767650541611,"Our Exp.",0.177066364024464,NA,NA,NA,NA,NA
2016,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.257235317453282,0.244354742828989,"Synthetic",0.131293494659419,NA,NA,NA,NA,NA
2016,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.257235317453282,0.244354742828989,"Actual",0.158521568347421,NA,NA,NA,NA,NA
2016,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.257235317453282,0.244354742828989,"Our Exp.",0.0992113065367977,NA,NA,NA,NA,NA
2016,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.467371012949158,0.140695825265472,"Synthetic",0.377961274421308,NA,NA,NA,NA,NA
2016,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.467371012949158,0.140695825265472,"Actual",0.301384931014599,NA,NA,NA,NA,NA
2016,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.467371012949158,0.140695825265472,"Our Exp.",0.324783700998212,NA,NA,NA,NA,NA
2016,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.547159742578004,0.136933006134342,"Synthetic",0.221954881382141,NA,NA,NA,NA,NA
2016,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.547159742578004,0.136933006134342,"Actual",0.149880102589016,NA,NA,NA,NA,NA
2016,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.547159742578004,0.136933006134342,"Our Exp.",0.191561932248294,NA,NA,NA,NA,NA
2016,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.305270062279924,0.0644182219082993,"Synthetic",0.0960377366376982,NA,NA,NA,NA,NA
2016,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.305270062279924,0.0644182219082993,"Actual",0.104649846310955,NA,NA,NA,NA,NA
2016,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.305270062279924,0.0644182219082993,"Our Exp.",0.0898511564074002,NA,NA,NA,NA,NA
2016,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.324984965456978,0.180814028826896,"Synthetic",0.149073118955408,NA,NA,NA,NA,NA
2016,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.324984965456978,0.180814028826896,"Actual",0.147763014560351,NA,NA,NA,NA,NA
2016,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.324984965456978,0.180814028826896,"Our Exp.",0.12211860772729,NA,NA,NA,NA,NA
2017,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.253354121747263,0.321087618007805,"Synthetic",0.127412298953401,NA,NA,0.29,"Evaluation",2017
2017,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.253354121747263,0.321087618007805,"Actual",0.1600937042777,NA,NA,0.29,"Evaluation",2017
2017,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.253354121747263,0.321087618007805,"Our Exp.",0.0865017873775552,NA,NA,0.29,"Evaluation",2017
2017,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.474380154329921,0.140695825265472,"Synthetic",0.384970415802071,NA,NA,NA,NA,NA
2017,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.474380154329921,0.140695825265472,"Actual",0.349280159846858,NA,NA,NA,NA,NA
2017,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.474380154329921,0.140695825265472,"Our Exp.",0.330806685448007,NA,NA,NA,NA,NA
2017,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.506708487546189,0.136933006134342,"Synthetic",0.181503626350327,NA,NA,NA,NA,NA
2017,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.506708487546189,0.136933006134342,"Actual",0.141106148624643,NA,NA,NA,NA,NA
2017,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.506708487546189,0.136933006134342,"Our Exp.",0.156649789169893,NA,NA,NA,NA,NA
2017,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.309797616782469,0.0644182219082993,"Synthetic",0.100565291140243,NA,NA,NA,NA,NA
2017,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.309797616782469,0.0644182219082993,"Actual",0.105649476863451,NA,NA,NA,NA,NA
2017,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.309797616782469,0.0644182219082993,"Our Exp.",0.0940870538992981,NA,NA,NA,NA,NA
2017,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.305687496324189,0.190964185274712,"Synthetic",0.129775649822619,NA,NA,NA,NA,NA
2017,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.305687496324189,0.190964185274712,"Actual",0.106202589708254,NA,NA,NA,NA,NA
2017,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.305687496324189,0.190964185274712,"Our Exp.",0.104993148585746,NA,NA,NA,NA,NA
2018,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.273642785341508,0.321087618007805,"Synthetic",0.147700962547646,NA,NA,NA,NA,NA
2018,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.273642785341508,0.321087618007805,"Actual",0.163319891830386,NA,0.16,NA,NA,NA
2018,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.273642785341508,0.321087618007805,"Our Exp.",0.100276012305762,NA,NA,NA,NA,NA
2018,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.438761961296742,0.140695825265472,"Synthetic",0.349352222768892,NA,NA,NA,NA,NA
2018,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.438761961296742,0.140695825265472,"Actual",0.345597659515185,NA,0.35,NA,NA,NA
2018,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.438761961296742,0.140695825265472,"Our Exp.",0.300199823478096,NA,NA,NA,NA,NA
2018,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.521797520425888,0.136933006134342,"Synthetic",0.196592659230026,NA,NA,NA,NA,NA
2018,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.521797520425888,0.136933006134342,"Actual",0.179802989789771,NA,0.18,NA,NA,NA
2018,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.521797520425888,0.136933006134342,"Our Exp.",0.169672635417714,NA,NA,NA,NA,NA
2018,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.294389039826957,0.0919776969331784,"Synthetic",0.0851567141847307,NA,NA,NA,NA,NA
2018,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.294389039826957,0.0919776969331784,"Actual",0.116049291010033,NA,0.12,NA,NA,NA
2018,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.294389039826957,0.0919776969331784,"Our Exp.",0.0773241957356223,NA,NA,NA,NA,NA
2018,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.334483782542402,0.190964185274712,"Synthetic",0.158571936040831,NA,NA,NA,NA,NA
2018,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.334483782542402,0.190964185274712,"Actual",0.126332365319525,NA,0.13,NA,NA,NA
2018,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.334483782542402,0.190964185274712,"Our Exp.",0.12829037546736,NA,NA,NA,NA,NA
