"sample_size","county_id","ban_year","att","rsq","mape","attempt"
5,"boulderM2",2016,0.455640917574191,0.153783318501961,0.474611529552738,5
5,"seattleM1",2015,0.163734707361354,0.0521485943309973,1.39762743693098e-05,5
6,"boulderM2",2016,0.463322601132474,0.174564047081889,0.480194314799784,5
6,"seattleM1",2015,0.12374676829708,0.518154657157925,1.37183131169983e-05,5
7,"boulderM2",2016,0.497661430682774,0.157760054365692,0.483741550397734,5
7,"seattleM1",2015,0.130111278282708,0.905123418892266,4.00452247449486e-05,5
8,"boulderM2",2016,0.443954370467425,0.115117177174937,0.490301392239962,5
8,"seattleM1",2015,0.146616341747579,0.379047581394171,3.94033767277948e-05,5
9,"boulderM2",2016,0.473921317061957,0.209223007054196,0.509674893213972,5
9,"seattleM1",2015,0.11303262873988,0.520833217105414,2.91703705480137e-05,5
10,"boulderM2",2016,0.406934842158643,0.015291307935376,0.52044040180994,5
10,"seattleM1",2015,0.0267753083806977,0.14911145121502,8.68442212087225e-06,5
3,"boulderM2",2016,0.463851590285669,0.0772300930037207,0.41231168196826,6
3,"seattleM1",2015,0.0708571628967268,0.778741407893532,3.73403564217372e-05,6
4,"boulderM2",2016,0.494054405864221,0.0758360746642841,0.455058458179906,6
4,"seattleM1",2015,0.16694329750518,0.620383503879851,1.65962182081306e-05,6
5,"boulderM2",2016,0.50232756003645,0.0811560923760019,0.424478514134182,6
5,"seattleM1",2015,0.182781244646594,0.10536823221,5.86171574916712e-05,6
6,"boulderM2",2016,0.431993527450702,0.0708871781736197,0.479637869032455,6
6,"seattleM1",2015,0.101404685235551,0.410708492449164,3.19633515424127e-05,6
7,"boulderM2",2016,0.457274311858222,0.0357233800167103,0.476647652566472,6
7,"seattleM1",2015,0.246470913669575,0.8325373919878,2.23523775258243e-05,6
8,"boulderM2",2016,0.458332357099181,0.0314342701122494,0.479625131174124,6
8,"seattleM1",2015,0.104873080161182,0.447784719261787,8.0533503691088e-05,6
9,"boulderM2",2016,0.450489506676343,0.0715528501028093,0.493212185311425,6
9,"seattleM1",2015,0.0815021582959435,0.230402637862473,3.13156278342734e-05,6
10,"boulderM2",2016,0.421229776949071,0.0798943233778807,0.490758377255907,6
10,"seattleM1",2015,0.150687998139942,0.532118876439692,5.37920873136242e-06,6
3,"boulderM2",2016,0.419467104852384,0.0653935664857962,0.416742978125019,7
3,"seattleM1",2015,0.0725669753656965,0.452105361569905,3.17281079198554e-05,7
4,"boulderM2",2016,0.38191426049891,0.0465278648149652,0.443584433296148,7
4,"seattleM1",2015,0.116680782330212,0.183475204875998,3.46210656045071e-05,7
5,"boulderM2",2016,0.596422717673549,0.0313505840281093,0.468607511764074,7
5,"seattleM1",2015,0.145227457276385,0.697053485541936,7.61360959126736e-05,7
6,"boulderM2",2016,0.448353929052534,0.0240915052051245,0.494087243527094,7
6,"seattleM1",2015,0.13806375526705,0.624073127879307,6.1928048201991e-05,7
7,"boulderM2",2016,0.498231263906346,0.00588620769952652,0.483623670886906,7
7,"seattleM1",2015,0.1246970496207,0.760516997021987,2.98406496937195e-05,7
8,"boulderM2",2016,0.542062167532369,0.161044242446881,0.493585561264263,7
8,"seattleM1",2015,0.139892920624605,0.635960859960751,1.58511202128057e-05,7
9,"boulderM2",2016,0.511219167812846,0.0073522052152093,0.494317442679303,7
9,"seattleM1",2015,0.121363801936568,0.458529040347542,9.64090899144884e-06,7
10,"boulderM2",2016,0.552277062003863,0.0152081150761315,0.504905776732771,7
10,"seattleM1",2015,0.190400172866652,0.157926678333463,3.42519333060211e-05,7
3,"boulderM2",2016,0.400284173326258,0.122660193016559,0.427487937894474,8
3,"seattleM1",2015,0.0210051985547834,0.188215892954371,0.000115483290101587,8
4,"boulderM2",2016,0.518600621347751,0.170426423905176,0.452128447521805,8
4,"seattleM1",2015,0.154758939319603,0.67389354145791,4.71026657261781e-05,8
5,"boulderM2",2016,0.333224889691275,0.0886822140087944,0.486490094339853,8
5,"seattleM1",2015,0.111347448009819,0.582014889538904,8.9187372125131e-05,8
6,"boulderM2",2016,0.568929711242837,0.0219778857760551,0.440859804243389,8
6,"seattleM1",2015,0.167031172554352,0.208465296358098,3.14110667685365e-05,8
7,"boulderM2",2016,0.386423401688073,0.0470996969693425,0.473609246241467,8
7,"seattleM1",2015,0.16257182272787,0.759020433575971,5.83747598662464e-05,8
8,"boulderM2",2016,0.422062451962608,0.102816578260329,0.495454347487373,8
8,"seattleM1",2015,0.0249609243351513,0.352416355783866,1.53912032341589e-05,8
9,"boulderM2",2016,0.419647846385227,0.0387405156928069,0.477715241565731,8
9,"seattleM1",2015,0.103850493829331,0.442147174095167,1.9714254502596e-05,8
10,"boulderM2",2016,0.519736321156155,0.0159897820755593,0.514074650608694,8
10,"seattleM1",2015,0.0605834335079934,0.806004043624463,1.07937006722242e-05,8
3,"boulderM2",2016,0.421124363054196,0.140762952594496,0.430720186439607,9
3,"seattleM1",2015,0.249283669179075,0.647678252678806,3.31987358558577e-06,9
4,"boulderM2",2016,0.389528806878993,0.214069473919699,0.431330259454154,9
4,"seattleM1",2015,0.12717433552699,0.384955973302031,0.000101373356583715,9
5,"boulderM2",2016,0.335459228402547,0.112295754155045,0.461348319816428,9
