county_name,municipality_name,sq_kms
siskiyou,tulelake,1.1
stanislaus,turlock,43.8
orange,tustin,28.9
san bernardino,twentynine palms,152.2
mendocino,ukiah,12.4
alameda,union city,49.7
san bernardino,upland,40.4
solano,vacaville,77.4
solano,vallejo,78.8
ventura,san buenaventura,56.7
los angeles,vernon,12.9
san bernardino,victorville,190.9
orange,villa park,5.4
tulare,visalia,98.3
san diego,vista,48.6
los angeles,walnut,23.3
contra costa,walnut creek,51.2
kern,wasco,24.3
stanislaus,waterford,6.1
santa cruz,watsonville,17.4
siskiyou,weed,12.5
los angeles,west covina,41.5
los angeles,west hollywood,4.9
yolo,west sacramento,55.6
los angeles,westlake village,13.4
orange,westminster,26
imperial,westmorland,1.5
yuba,wheatland,21
los angeles,whittier,37.9
riverside,wildomar,61.4
colusa,williams,12.8
mendocino,willits,7.3
glenn,willows,7.4
sonoma,windsor,19.3
yolo,winters,7.6
tulare,woodlake,6.8
yolo,woodland,39.7
san mateo,woodside,29.7
orange,yorba linda,51.7
napa,yountville,3.9
siskiyou,yreka,25.9
sutter,yuba city,38.8
san bernardino,yucaipa,73.2
san bernardino,yucca valley,103.2
