GeoName,State,County,LineCode,Description,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Cleburne, AL",AL,Cleburne,3,Per capita personal income (dollars) 2/,Dollars,14887,14825,15953,16566,17255,17112,17235,18477,18939,18706,20605,20658,21245,23371,24553,24707,25669,26883,26770,27947,28738,30199,31387,32743,34441,34170,35457,36243,35791
"Coffee, AL",AL,Coffee,1,Personal income (thousands of dollars),Thousands of dollars,677468,727301,761227,796912,829183,862566,888078,1001463,1047829,1057002,1112307,1149833,1213569,1318674,1358218,1409897,1539043,1651114,1680260,1778797,1818441,1850019,1887391,1922352,2026646,2062421,2136577,2226721,2301936
"Coffee, AL",AL,Coffee,2,Population (persons) 1/,Number of persons,40577,41469,41910,42666,43174,43128,43201,43509,43667,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342
"Coffee, AL",AL,Coffee,3,Per capita personal income (dollars) 2/,Dollars,16696,17538,18163,18678,19206,20000,20557,23017,23996,24254,25444,26174,27385,29269,29783,30499,32430,34032,33986,35429,36049,36175,37241,37948,39767,40280,41205,42863,43979
"Colbert, AL",AL,Colbert,1,Personal income (thousands of dollars),Thousands of dollars,840647,890007,924714,971013,1013533,1074814,1122175,1123033,1139909,1184045,1193350,1213269,1291051,1369619,1451833,1537066,1615057,1654667,1660265,1725474,1785079,1799131,1819384,1893983,1949792,1987143,2044009,2107713,2191897
"Colbert, AL",AL,Colbert,2,Population (persons) 1/,Number of persons,52557,52827,53367,53454,53702,54163,54899,54928,54715,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241
"Colbert, AL",AL,Colbert,3,Per capita personal income (dollars) 2/,Dollars,15995,16848,17327,18165,18873,19844,20441,20446,20834,21529,21779,22247,23785,25186,26708,28248,29642,30376,30505,31646,32730,32969,33365,34776,35831,36463,37371,38319,39679
"Conecuh, AL",AL,Conecuh,1,Personal income (thousands of dollars),Thousands of dollars,186602,199501,209170,227538,236702,247890,264649,275396,273965,276577,281434,280392,283273,292690,307359,312637,322924,333370,334821,348918,354523,355977,373659,368513,385419,382981,397253,412559,421037
"Conecuh, AL",AL,Conecuh,2,Population (persons) 1/,Number of persons,14331,14233,14255,14321,14322,14458,14361,14242,14158,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,13236,13195,13046,12912,12677,12678,12500,12431,12292,12067
"Conecuh, AL",AL,Conecuh,3,Per capita personal income (dollars) 2/,Dollars,13021,14017,14673,15888,16527,17146,18428,19337,19351,19706,20189,20329,20852,21794,22901,22983,24025,24901,25224,26361,26868,27286,28939,29069,30401,30638,31957,33563,34892
